StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q15,Q16,Q16_7_TEXT,SC0,SC1,SC2,SC3,SC4
2022-03-22 15:39:58,2022-03-22 15:44:51,IP Address,107.77.233.173,100,292,True,2022-03-22 15:44:52,R_9tOdns7YNFmYqml,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,5. Extremely,5. Extremely,3. Average,5. Extremely,5. Extremely,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,A little more friendly,A little better at interacting with people,Female,25-34 years old,8+ years,Once per week,Regular attender,4. Well,200-499,Predominantly White,,18,15,15,23,24
2022-03-22 16:04:08,2022-03-22 16:07:38,IP Address,68.59.201.206,100,210,True,2022-03-22 16:07:39,R_1H0jFwvBNhskRxF,,,,,34.6920013427734375,-85.26020050048828125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",3. Average,4. Very,4. Very,3. Average,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,A little better at preaching,Male,25-34 years old,8+ years,More than once per week,Leadership position,5. Quite Well,0-99,Predominantly White,,15,11,12,22,24
2022-03-22 16:01:20,2022-03-22 16:08:04,IP Address,172.58.3.185,100,403,True,2022-03-22 16:08:04,R_ReLXbBIiNH4zJfj,,,,,33.8231048583984375,-84.32579803466796875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,3. Average,4. Very,4. Very,3. Average,3. Average,4. Agree,3. Neutral,3. Neutral,3. Neutral,2. Disagree,2. Disagree,2. Disagree,2. Disagree,3. Neutral,3. Neutral,4. Agree,2. Disagree,4. Agree,A little more friendly,A little better at interacting with people,Male,65+ years old,8+ years,Once per week,Regular attender,4. Well,200-499,Predominantly White,,14,11,10,11,16
2022-03-22 16:07:01,2022-03-22 16:10:02,IP Address,174.248.56.65,100,181,True,2022-03-22 16:10:02,R_3RrsdtEvDAF6F6N,,,,,33.5225982666015625,-86.8032989501953125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",3. Average,2. Somewhat,2. Somewhat,2. Somewhat,2. Somewhat,2. Somewhat,3. Average,3. Neutral,3. Neutral,3. Neutral,2. Disagree,2. Disagree,2. Disagree,2. Disagree,2. Disagree,2. Disagree,2. Disagree,2. Disagree,2. Disagree,2. Disagree,A little more intelligent,A little better at interacting with people,Female,35-44 years old,8+ years,Almost never or never,Regular attender,3. Somewhat,200-499,Predominantly White,,9,7,9,10,10
2022-03-22 16:12:29,2022-03-22 16:14:53,IP Address,96.38.200.218,100,144,True,2022-03-22 16:14:53,R_28IhQDFSZpvo39V,,,,,34.113800048828125,-83.9990997314453125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,4. Very,4. Very,4. Very,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,A little more friendly,A little better at preaching,Female,35-44 years old,5-8 years,Almost never or never,Regular volunteer,3. Somewhat,200-499,Predominantly White,,16,13,12,20,19
2022-03-22 16:16:20,2022-03-22 16:20:00,IP Address,107.127.28.2,100,219,True,2022-03-22 16:20:00,R_AuEZdwZCPUlbp9D,,,,,33.906005859375,-84.18399810791015625,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,4. Very,3. Average,4. Very,5. Extremely,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,A little better at preaching,Female,35-44 years old,5-8 years,More than once per week,Leadership position,4. Well,200-499,Predominantly White,,16,14,12,20,25
2022-03-22 16:21:08,2022-03-22 16:24:29,IP Address,97.81.108.150,100,200,True,2022-03-22 16:24:29,R_1EbTNGYvdoIrQhJ,,,,,34.1793975830078125,-83.90160369873046875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,4. Very,4. Very,3. Average,4. Very,4. Very,3. Neutral,3. Neutral,4. Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,A little more friendly,Much better at interacting with people,Female,25-34 years old,2-4 years,More than once per week,Regular volunteer,5. Quite Well,200-499,Predominantly White,,15,14,10,22,24
2022-03-22 16:25:03,2022-03-22 16:28:18,IP Address,107.77.235.140,100,194,True,2022-03-22 16:28:19,R_ByRS7KwZWO2FimZ,,,,,33.748504638671875,-84.3871002197265625,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,4. Very,5. Extremely,5. Extremely,4. Very,4. Very,4. Very,5. Strongly Agree,4. Agree,3. Neutral,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,Much better at interacting with people,Female,35-44 years old,5-8 years,More than once per week,Regular volunteer,4. Well,200-499,Predominantly White,,17,14,12,23,25
2022-03-22 16:52:13,2022-03-22 16:55:07,IP Address,75.139.144.167,100,174,True,2022-03-22 16:55:08,R_514UhuZGFCodkTT,,,,,34.113800048828125,-83.9990997314453125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,Much better at preaching,Male,65+ years old,2-4 years,Once per week,Regular attender,3. Somewhat,500-1999,Predominantly White,,20,15,15,25,25
2022-03-22 17:01:01,2022-03-22 17:05:56,IP Address,76.97.62.7,100,295,True,2022-03-22 17:05:57,R_Zn8SJpPw8almY8N,,,,,34.0796966552734375,-83.93280029296875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,4. Very,3. Average,3. Average,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,A little more friendly,A little better at interacting with people,Female,35-44 years old,0-1 year,Once per week,Regular volunteer,2. Slightly,100-199,Predominantly White,,14,12,12,19,21
2022-03-22 17:20:10,2022-03-22 17:25:37,IP Address,47.36.32.69,100,326,True,2022-03-22 17:25:37,R_3gZuCVA5nETFm8s,,,,,34.273406982421875,-83.8780975341796875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",1. Not at all,1. Not at all,1. Not at all,1. Not at all,1. Not at all,1. Not at all,1. Not at all,4. Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,3. Neutral,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,A little more intelligent,A little better at preaching,Female,65+ years old,5-8 years,Almost never or never,Regular attender,1. Not at all,200-499,Predominantly White,,4,3,6,5,7
2022-03-22 17:58:52,2022-03-22 18:01:27,IP Address,24.30.31.42,100,154,True,2022-03-22 18:01:28,R_3GBQnTUfBrfLSsX,,,,,33.9915924072265625,-83.89009857177734375,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,5. Extremely,4. Very,5. Extremely,5. Extremely,5. Extremely,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,A little better at interacting with people,Female,55-64 years old,2-4 years,Once per week,Regular volunteer,4. Well,200-499,Predominantly White,,19,15,15,25,25
2022-03-22 17:57:16,2022-03-22 18:12:17,IP Address,172.58.6.140,100,901,True,2022-03-22 18:12:17,R_1QKmzMDCMmZBgD8,,,,,33.8231048583984375,-84.32579803466796875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,4. Very,5. Extremely,4. Very,4. Very,4. Very,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neutral,3. Neutral,A little more friendly,A little better at preaching,Female,25-34 years old,0-1 year,Once per week,Regular volunteer,3. Somewhat,200-499,Predominantly White,,17,12,15,24,20
2022-03-22 18:16:16,2022-03-22 18:20:01,IP Address,174.209.106.14,100,225,True,2022-03-22 18:20:02,R_3F4Zv0f0YbiBXaK,,,,,33.822906494140625,-84.3535003662109375,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,4. Very,5. Extremely,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,Much more friendly,Much better at interacting with people,Female,35-44 years old,2-4 years,More than once per week,Leadership position,4. Well,200-499,Predominantly White,,17,14,12,20,20
2022-03-22 18:48:39,2022-03-22 18:52:43,IP Address,76.105.68.203,100,244,True,2022-03-22 18:52:43,R_3G0QsdbCFYRWhYz,,,,,33.8780059814453125,-83.892303466796875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,5. Extremely,5. Extremely,4. Very,4. Very,4. Very,4. Very,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Much more friendly,Much better at interacting with people,Female,65+ years old,8+ years,More than once per week,Regular attender,5. Quite Well,0-99,Predominantly White,,16,14,15,22,25
2022-03-22 19:20:56,2022-03-22 19:24:02,IP Address,172.58.3.6,100,185,True,2022-03-22 19:24:02,R_ePBeGY2mv8ae91v,,,,,33.8231048583984375,-84.32579803466796875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",2. Somewhat,3. Average,4. Very,5. Extremely,4. Very,4. Very,4. Very,4. Agree,3. Neutral,2. Disagree,4. Agree,2. Disagree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,Much more intelligent,Much better at preaching,Female,25-34 years old,2-4 years,Once per week,Regular volunteer,4. Well,100-199,Predominantly White,,17,9,9,18,19
2022-03-22 19:30:29,2022-03-22 19:33:01,IP Address,172.58.7.23,100,151,True,2022-03-22 19:33:01,R_1JFNpGnGfVVlR98,,,,,33.746795654296875,-84.31369781494140625,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,5. Extremely,3. Average,4. Very,4. Very,5. Extremely,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,Much more friendly,A little better at interacting with people,Female,35-44 years old,2-4 years,Once per week,Sporadic attender,3. Somewhat,100-199,Predominantly White,,16,15,15,25,24
2022-03-22 19:50:05,2022-03-22 19:53:12,IP Address,104.3.49.136,100,187,True,2022-03-22 19:53:13,R_2EcbQHyichGO0FD,,,,,34.957794189453125,-85.30120086669921875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,4. Very,4. Very,5. Extremely,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,A little more intelligent,A little better at preaching,Male,25-34 years old,2-4 years,Once per week,Sporadic attender,3. Somewhat,100-199,Predominantly White,,17,12,12,24,23
2022-03-22 20:08:35,2022-03-22 20:11:02,IP Address,99.6.203.35,100,147,True,2022-03-22 20:11:02,R_qIuWkE1sGz26vst,,,,,34.1793975830078125,-83.90160369873046875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,4. Very,4. Very,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,A little more friendly,A little better at interacting with people,Female,25-34 years old,5-8 years,Once per week,Sporadic attender,3. Somewhat,200-499,Predominantly White,,16,12,12,20,20
2022-03-22 20:26:45,2022-03-22 20:28:27,IP Address,172.58.3.60,100,102,True,2022-03-22 20:28:28,R_2y1wE2xJD6phCoK,,,,,33.8231048583984375,-84.32579803466796875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,4. Very,5. Extremely,4. Very,5. Extremely,5. Extremely,5. Extremely,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,A little more friendly,Much better at preaching,Male,25-34 years old,2-4 years,Once per week,Leadership position,4. Well,500-1999,Predominantly White,,19,14,14,22,23
2022-03-22 20:30:13,2022-03-22 20:32:42,IP Address,162.39.210.126,100,148,True,2022-03-22 20:32:42,R_3qEcEl2XGsRDg9g,,,,,34.24969482421875,-84.48940277099609375,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,4. Very,4. Very,3. Average,4. Very,5. Extremely,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Much more friendly,Much better at interacting with people,Female,25-34 years old,8+ years,Once per week,Regular volunteer,4. Well,200-499,Predominantly White,,16,14,13,21,25
2022-03-22 20:32:01,2022-03-22 20:35:45,IP Address,172.125.253.168,100,223,True,2022-03-22 20:35:45,R_245UGv32cEx3aMR,,,,,33.9405975341796875,-83.956298828125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",3. Average,3. Average,2. Somewhat,4. Very,5. Extremely,3. Average,3. Average,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,A little more intelligent,A little better at preaching,Male,45-54 years old,8+ years,Once per month,Leadership position,3. Somewhat,2000+,Predominantly White,,15,8,15,20,20
2022-03-22 20:38:54,2022-03-22 20:41:17,IP Address,174.249.163.231,100,142,True,2022-03-22 20:41:17,R_1cSNyDWRGaS8Rhr,,,,,33.822906494140625,-84.3535003662109375,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,4. Very,4. Very,4. Very,4. Very,4. Very,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,A little more friendly,A little better at preaching,Female,25-34 years old,2-4 years,More than once per week,Leadership position,4. Well,200-499,Predominantly White,,16,14,15,20,23
