StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6 (continued)_1,Q6 (continued)_2,Q6 (continued)_3,Q6 (continued)_4,Q6 (continued)_5,Q6 (continued)_6,Q6 (continued)_7,Q6 (continued)_8,Q6 (continued)_9,Q6 (continued)_10,Q6 (continued)_11,Q6 (continued)_12,Q6 (continued)_13,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q6 _1,Q6 _2,Q6 _3,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q8_22,Q8_23,Q8_24,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q9_21,Q9_22,Q9_23,Q9_24,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
2022-11-02 09:02:17,2022-11-02 09:09:38,IP Address,128.92.72.51,100,441,True,2022-11-02 09:09:40,R_1Cl650ckfVw1q3L,,,,,34.5251,-82.6307,anonymous,EN,18,Female,Married,White,Non-Hispanic,Very Much,Quite a Bit,Not at All,Quite a Bit,Quite a Bit,Somewhat,Very Much,Quite a Bit,Quite a Bit,Somewhat,Somewhat,Somewhat,Very Much,Somewhat,A Moderate Amount,Not at All,A Moderate Amount,Not at All,Quite a Bit,Not at All,A Moderate Amount,Not at All,Somewhat,A Moderate Amount,Somewhat,Quite a Bit,Not at All,Very Much,Quite a Bit,Very Much,Very Much,Very Much,Not at All,A Moderate Amount,A Moderate Amount,Somewhat,Somewhat,3 - Neutral,5 - Very well,2 - Not very well,1 - Not at all,4 - Pretty well,5 - Very well,1 - Not at all,4 - Pretty well,4 - Pretty well,5 - Very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,5 - Very well,4 - Pretty well,2 - Not very well,5 - Very well,5 - Very well,3 - Neutral,5 - Very well,5 - Very well,2 - Not very well,Rarely,Never,Never,Often,Sometimes,Often,Never,Often,Often,Rarely,Often,Often,Rarely,Often,Often,Never,Often,Never,Often,Never,Sometimes,Often,Never,Never,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,89,90,13,26,25,17,21,12,35
2022-11-02 09:02:36,2022-11-02 09:10:14,IP Address,128.92.72.51,100,457,True,2022-11-02 09:10:14,R_1Kg1P9ufmTQDPjF,,,,,34.5251,-82.6307,anonymous,EN,20,Male,Divorced,Black or African American,Non-Hispanic,Somewhat,A Moderate Amount,Quite a Bit,Somewhat,A Moderate Amount,Somewhat,A Moderate Amount,Somewhat,A Moderate Amount,Quite a Bit,Somewhat,Somewhat,Somewhat,Quite a Bit,Somewhat,Somewhat,Quite a Bit,Somewhat,A Moderate Amount,Somewhat,Somewhat,Somewhat,Quite a Bit,Somewhat,Quite a Bit,Quite a Bit,Somewhat,Somewhat,Somewhat,Somewhat,Quite a Bit,Quite a Bit,Quite a Bit,A Moderate Amount,Somewhat,A Moderate Amount,Somewhat,5 - Very well,4 - Pretty well,3 - Neutral,2 - Not very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,3 - Neutral,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,88,65,41,16,20,10,15,18,22
2022-11-02 09:02:37,2022-11-02 09:14:49,IP Address,128.92.72.51,100,731,True,2022-11-02 09:14:50,R_1IM0xRxEF9F2boQ,,,,,34.5251,-82.6307,anonymous,EN,20,Female,Married,White,Hispanic,A Moderate Amount,Quite a Bit,Somewhat,Somewhat,Quite a Bit,Not at All,A Moderate Amount,A Moderate Amount,Quite a Bit,Somewhat,Not at All,Somewhat,A Moderate Amount,Quite a Bit,A Moderate Amount,Not at All,Very Much,Somewhat,Quite a Bit,Not at All,A Moderate Amount,Not at All,Quite a Bit,A Moderate Amount,Somewhat,A Moderate Amount,Somewhat,Somewhat,Somewhat,Somewhat,Quite a Bit,Very Much,Not at All,Very Much,Somewhat,Somewhat,A Moderate Amount,4 - Pretty well,3 - Neutral,3 - Neutral,3 - Neutral,2 - Not very well,3 - Neutral,3 - Neutral,4 - Pretty well,2 - Not very well,5 - Very well,4 - Pretty well,2 - Not very well,3 - Neutral,2 - Not very well,3 - Neutral,3 - Neutral,4 - Pretty well,3 - Neutral,3 - Neutral,4 - Pretty well,5 - Very well,3 - Neutral,4 - Pretty well,3 - Neutral,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,78,58,49,21,28,10,19,13,23
2022-11-02 09:22:00,2022-11-02 09:30:58,IP Address,128.92.72.101,100,537,True,2022-11-02 09:30:59,R_22shYFl2tlozVyb,,,,,34.5251,-82.6307,anonymous,EN,19,Male,Married,White,Non-Hispanic,Quite a Bit,Quite a Bit,Somewhat,A Moderate Amount,Very Much,Very Much,Quite a Bit,A Moderate Amount,A Moderate Amount,Quite a Bit,Very Much,Somewhat,Not at All,Somewhat,A Moderate Amount,Somewhat,Very Much,Not at All,Quite a Bit,Somewhat,A Moderate Amount,Not at All,Somewhat,Not at All,A Moderate Amount,Very Much,Somewhat,Somewhat,Somewhat,Not at All,A Moderate Amount,Quite a Bit,Not at All,A Moderate Amount,A Moderate Amount,Somewhat,A Moderate Amount,5 - Very well,2 - Not very well,3 - Neutral,2 - Not very well,4 - Pretty well,2 - Not very well,3 - Neutral,1 - Not at all,2 - Not very well,5 - Very well,4 - Pretty well,5 - Very well,5 - Very well,1 - Not at all,2 - Not very well,4 - Pretty well,2 - Not very well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,4 - Pretty well,2 - Not very well,Sometimes,Often,Often,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Never,Never,Rarely,Often,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,78,49,54,22,23,11,17,19,25
2022-11-02 09:22:15,2022-11-02 09:33:16,IP Address,128.92.72.51,100,660,True,2022-11-02 09:33:17,R_1DO2qv6qTJqfRXE,,,,,34.5251,-82.6307,anonymous,EN,19,Female,Married,White,Non-Hispanic,Very Much,Very Much,Not at All,Very Much,,A Moderate Amount,Very Much,Quite a Bit,Very Much,A Moderate Amount,A Moderate Amount,A Moderate Amount,Somewhat,Quite a Bit,Quite a Bit,Somewhat,Very Much,Not at All,Very Much,Quite a Bit,Quite a Bit,Not at All,Quite a Bit,Somewhat,Quite a Bit,Very Much,Not at All,Very Much,Very Much,Very Much,Quite a Bit,Somewhat,Not at All,Not at All,Quite a Bit,Somewhat,Somewhat,4 - Pretty well,2 - Not very well,1 - Not at all,1 - Not at all,2 - Not very well,5 - Very well,4 - Pretty well,5 - Very well,2 - Not very well,1 - Not at all,4 - Pretty well,2 - Not very well,1 - Not at all,2 - Not very well,1 - Not at all,2 - Not very well,2 - Not very well,4 - Pretty well,3 - Neutral,4 - Pretty well,2 - Not very well,3 - Neutral,3 - Neutral,2 - Not very well,Often,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Never,Sometimes,Rarely,Often,Somewhat Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Disagree,62,50,31,27,28,13,13,17,41
2022-11-02 09:26:02,2022-11-02 09:33:59,IP Address,128.92.72.51,100,477,True,2022-11-02 09:34:00,R_21I0TvYTcmUTUyA,,,,,34.5251,-82.6307,anonymous,EN,20,Male,Married,White,Non-Hispanic,Very Much,Very Much,Somewhat,Quite a Bit,Quite a Bit,Not at All,Quite a Bit,Quite a Bit,Very Much,A Moderate Amount,Somewhat,Quite a Bit,Quite a Bit,Not at All,Quite a Bit,Not at All,Very Much,Not at All,A Moderate Amount,Not at All,Quite a Bit,Not at All,Quite a Bit,Quite a Bit,A Moderate Amount,Quite a Bit,Not at All,Very Much,Quite a Bit,Very Much,Very Much,A Moderate Amount,Somewhat,Quite a Bit,Quite a Bit,Not at All,Not at All,3 - Neutral,4 - Pretty well,4 - Pretty well,2 - Not very well,5 - Very well,3 - Neutral,3 - Neutral,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,2 - Not very well,4 - Pretty well,4 - Pretty well,5 - Very well,3 - Neutral,4 - Pretty well,4 - Pretty well,Never,Never,Never,Rarely,Never,Often,Never,Sometimes,Often,Never,Often,Often,Never,Often,Often,Never,Often,Never,Sometimes,Rarely,Sometimes,Often,Never,Rarely,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,89,89,19,25,29,18,22,13,37
2022-11-02 09:58:15,2022-11-02 10:05:46,IP Address,128.92.72.51,100,451,True,2022-11-02 10:05:48,R_28Nb6vXJMjelXPy,,,,,34.5251,-82.6307,anonymous,EN,19,Female,Married,Black or African American,,Very Much,Very Much,Not at All,Very Much,Somewhat,Somewhat,Somewhat,Quite a Bit,A Moderate Amount,A Moderate Amount,A Moderate Amount,Quite a Bit,A Moderate Amount,Somewhat,A Moderate Amount,Somewhat,Very Much,Somewhat,Very Much,Not at All,Somewhat,Not at All,Quite a Bit,Quite a Bit,A Moderate Amount,A Moderate Amount,Somewhat,Quite a Bit,Quite a Bit,Quite a Bit,Quite a Bit,A Moderate Amount,Not at All,A Moderate Amount,A Moderate Amount,Somewhat,Somewhat,3 - Neutral,4 - Pretty well,4 - Pretty well,3 - Neutral,3 - Neutral,2 - Not very well,2 - Not very well,2 - Not very well,2 - Not very well,2 - Not very well,2 - Not very well,3 - Neutral,3 - Neutral,2 - Not very well,3 - Neutral,3 - Neutral,4 - Pretty well,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Often,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,68,68,59,25,26,16,19,17,34
2022-11-02 09:58:37,2022-11-02 10:06:02,IP Address,128.92.72.51,100,445,True,2022-11-02 10:06:03,R_tDTIDegviWp1sUV,,,,,34.5251,-82.6307,anonymous,EN,18,Male,Married,White,Non-Hispanic,Very Much,Very Much,Not at All,Very Much,Very Much,Not at All,Very Much,Very Much,Quite a Bit,Very Much,Quite a Bit,Very Much,Very Much,Somewhat,A Moderate Amount,Not at All,Very Much,Not at All,Very Much,Not at All,Very Much,Not at All,Very Much,Very Much,Very Much,Quite a Bit,Not at All,Very Much,Very Much,Very Much,Very Much,Not at All,Not at All,Not at All,Very Much,Not at All,Not at All,5 - Very well,5 - Very well,5 - Very well,2 - Not very well,3 - Neutral,5 - Very well,4 - Pretty well,3 - Neutral,3 - Neutral,4 - Pretty well,5 - Very well,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,5 - Very well,5 - Very well,4 - Pretty well,5 - Very well,,4 - Pretty well,4 - Pretty well,5 - Very well,Rarely,Never,Never,Never,Never,Often,Never,Sometimes,Often,Rarely,Often,Often,Rarely,Sometimes,Often,Never,Often,Rarely,Often,Never,Rarely,Often,Never,Never,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,95,85,19,30,27,19,25,19,45
2022-11-02 09:57:56,2022-11-02 10:07:10,IP Address,128.92.72.51,100,553,True,2022-11-02 10:07:10,R_1Cga2ZPZbMXPZfR,,,,,34.5251,-82.6307,anonymous,EN,18,Female,Married,White,Non-Hispanic,Quite a Bit,A Moderate Amount,Somewhat,A Moderate Amount,Very Much,Not at All,Quite a Bit,Quite a Bit,Very Much,Not at All,A Moderate Amount,Somewhat,Somewhat,Somewhat,Quite a Bit,Not at All,Very Much,Not at All,A Moderate Amount,Not at All,Quite a Bit,Not at All,A Moderate Amount,Quite a Bit,Very Much,Somewhat,Somewhat,Very Much,Quite a Bit,Very Much,Quite a Bit,Somewhat,,Somewhat,Quite a Bit,Somewhat,Not at All,1 - Not at all,2 - Not very well,4 - Pretty well,1 - Not at all,3 - Neutral,4 - Pretty well,1 - Not at all,4 - Pretty well,1 - Not at all,2 - Not very well,5 - Very well,2 - Not very well,4 - Pretty well,1 - Not at all,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,2 - Not very well,4 - Pretty well,2 - Not very well,4 - Pretty well,5 - Very well,1 - Not at all,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Rarely,Often,Often,Often,Never,Sometimes,Never,Often,Rarely,Often,Never,Sometimes,Sometimes,Often,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Disagree,68,48,38,22,31,14,22,15,34
2022-11-02 10:23:53,2022-11-02 10:32:06,IP Address,174.203.214.43,100,493,True,2022-11-02 10:32:07,R_3hrlIACkBSkx6jI,,,,,35.1712,-80.7939,anonymous,EN,19,Female,Never married,White,Non-Hispanic,A Moderate Amount,Somewhat,Somewhat,Somewhat,A Moderate Amount,Not at All,Very Much,A Moderate Amount,A Moderate Amount,Somewhat,Quite a Bit,A Moderate Amount,Very Much,A Moderate Amount,Very Much,Somewhat,Very Much,Not at All,Very Much,A Moderate Amount,A Moderate Amount,Not at All,Very Much,A Moderate Amount,Quite a Bit,A Moderate Amount,Not at All,Very Much,A Moderate Amount,Very Much,Quite a Bit,Very Much,Not at All,A Moderate Amount,Quite a Bit,Somewhat,A Moderate Amount,3 - Neutral,4 - Pretty well,2 - Not very well,1 - Not at all,1 - Not at all,2 - Not very well,3 - Neutral,3 - Neutral,1 - Not at all,3 - Neutral,2 - Not very well,4 - Pretty well,4 - Pretty well,2 - Not very well,2 - Not very well,2 - Not very well,1 - Not at all,5 - Very well,4 - Pretty well,5 - Very well,2 - Not very well,3 - Neutral,2 - Not very well,1 - Not at all,Often,Often,Often,Often,Often,Rarely,Sometimes,Rarely,Often,Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Never,Often,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,62,51,24,24,25,13,17,16,34
2022-11-02 10:26:44,2022-11-02 10:36:13,IP Address,128.92.72.51,100,568,True,2022-11-02 10:36:13,R_3PgUJdAjhX4UGAJ,,,,,34.5251,-82.6307,anonymous,EN,18,Female,Married,White,Non-Hispanic,A Moderate Amount,A Moderate Amount,Not at All,Somewhat,Quite a Bit,Somewhat,Somewhat,A Moderate Amount,Quite a Bit,Not at All,Somewhat,A Moderate Amount,Quite a Bit,Not at All,A Moderate Amount,Somewhat,A Moderate Amount,Somewhat,Very Much,Not at All,A Moderate Amount,Not at All,A Moderate Amount,A Moderate Amount,Not at All,Not at All,Not at All,Somewhat,Somewhat,A Moderate Amount,A Moderate Amount,Quite a Bit,Not at All,A Moderate Amount,A Moderate Amount,Not at All,A Moderate Amount,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,3 - Neutral,5 - Very well,3 - Neutral,5 - Very well,3 - Neutral,5 - Very well,5 - Very well,5 - Very well,5 - Very well,3 - Neutral,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,5 - Very well,3 - Neutral,3 - Neutral,5 - Very well,3 - Neutral,Rarely,Rarely,Never,Never,Rarely,Often,Never,Often,Often,Rarely,Often,Often,Rarely,Rarely,Often,Rarely,Often,Rarely,Often,Never,Often,Often,Never,Rarely,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,96,83,14,22,28,14,20,13,28
2022-11-02 10:28:37,2022-11-02 10:37:31,IP Address,172.58.158.207,100,534,True,2022-11-02 10:37:32,R_3fpWGRnA5Kpqb8p,,,,,35.2316,-80.8428,anonymous,EN,18,Male,Married,White,Non-Hispanic,Quite a Bit,Very Much,Somewhat,Quite a Bit,A Moderate Amount,Somewhat,Quite a Bit,Quite a Bit,Quite a Bit,Quite a Bit,Somewhat,A Moderate Amount,Quite a Bit,Not at All,Quite a Bit,Somewhat,Quite a Bit,Somewhat,Quite a Bit,Somewhat,Quite a Bit,Not at All,A Moderate Amount,Quite a Bit,Somewhat,A Moderate Amount,Not at All,Quite a Bit,Quite a Bit,A Moderate Amount,A Moderate Amount,Very Much,Not at All,Somewhat,Quite a Bit,Not at All,Somewhat,4 - Pretty well,2 - Not very well,3 - Neutral,3 - Neutral,2 - Not very well,2 - Not very well,2 - Not very well,3 - Neutral,2 - Not very well,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,5 - Very well,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,3 - Neutral,3 - Neutral,Sometimes,Never,Never,Rarely,Sometimes,Sometimes,Never,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Never,Rarely,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,79,76,38,23,27,17,20,13,33
2022-11-02 10:31:38,2022-11-02 10:41:23,IP Address,128.92.72.51,100,584,True,2022-11-02 10:41:24,R_1gjcG2Ztjto9cjl,,,,,34.5251,-82.6307,anonymous,EN,18,Female,Married,White,Non-Hispanic,Very Much,Very Much,Somewhat,Very Much,Quite a Bit,Somewhat,Very Much,Quite a Bit,Very Much,Somewhat,,A Moderate Amount,Quite a Bit,Not at All,Very Much,Not at All,Quite a Bit,Somewhat,Very Much,Somewhat,Quite a Bit,Not at All,Quite a Bit,Very Much,A Moderate Amount,Quite a Bit,Not at All,Very Much,Quite a Bit,Very Much,Very Much,Quite a Bit,Somewhat,A Moderate Amount,Quite a Bit,Somewhat,Somewhat,4 - Pretty well,5 - Very well,3 - Neutral,3 - Neutral,3 - Neutral,5 - Very well,4 - Pretty well,3 - Neutral,2 - Not very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,2 - Not very well,3 - Neutral,2 - Not very well,4 - Pretty well,4 - Pretty well,5 - Very well,3 - Neutral,3 - Neutral,4 - Pretty well,2 - Not very well,Rarely,Sometimes,Never,Sometimes,Rarely,Often,Never,Often,Often,Rarely,Often,Often,Rarely,Sometimes,Often,Never,Often,Rarely,Often,Never,Sometimes,Often,Never,Never,Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,83,86,25,27,29,18,22,12,36
2022-11-02 10:55:36,2022-11-02 11:02:52,IP Address,128.92.72.51,100,435,True,2022-11-02 11:02:53,R_sd0SgXsQbf46F7X,,,,,34.5251,-82.6307,anonymous,EN,20,Female,Married,White,Non-Hispanic,Very Much,Very Much,Not at All,Quite a Bit,Quite a Bit,Somewhat,Quite a Bit,Quite a Bit,Very Much,Somewhat,A Moderate Amount,A Moderate Amount,A Moderate Amount,Somewhat,Quite a Bit,Not at All,A Moderate Amount,Not at All,Quite a Bit,Not at All,Quite a Bit,Not at All,Somewhat,Quite a Bit,Not at All,Somewhat,Somewhat,Very Much,Very Much,Very Much,Quite a Bit,Quite a Bit,Somewhat,Not at All,Quite a Bit,Not at All,Not at All,4 - Pretty well,3 - Neutral,4 - Pretty well,2 - Not very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,4 - Pretty well,3 - Neutral,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,Rarely,Rarely,Rarely,Often,Sometimes,Often,Never,Often,Often,Rarely,Often,Often,Often,Sometimes,Often,Never,Often,Rarely,Often,Rarely,Rarely,Often,Never,Rarely,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Disagree,93,81,24,26,30,16,21,11,39
2022-11-02 10:55:53,2022-11-02 11:06:51,IP Address,107.77.237.71,100,658,True,2022-11-02 11:06:52,R_3qWrw4uyoGZqxtP,,,,,33.7485,-84.3871,anonymous,EN,21,Female,Married,White,Non-Hispanic,Very Much,Very Much,Somewhat,A Moderate Amount,Quite a Bit,Not at All,Very Much,Very Much,Very Much,Not at All,Quite a Bit,Very Much,A Moderate Amount,Quite a Bit,A Moderate Amount,Not at All,Very Much,Not at All,Very Much,Not at All,A Moderate Amount,Not at All,Very Much,Very Much,Somewhat,Very Much,Not at All,Very Much,Very Much,Very Much,Very Much,A Moderate Amount,A Moderate Amount,Very Much,Very Much,Not at All,Not at All,3 - Neutral,1 - Not at all,1 - Not at all,2 - Not very well,4 - Pretty well,5 - Very well,5 - Very well,2 - Not very well,1 - Not at all,4 - Pretty well,5 - Very well,5 - Very well,4 - Pretty well,1 - Not at all,2 - Not very well,4 - Pretty well,4 - Pretty well,2 - Not very well,4 - Pretty well,5 - Very well,4 - Pretty well,5 - Very well,5 - Very well,2 - Not very well,Rarely,Sometimes,Sometimes,Often,Often,Often,Sometimes,Rarely,Rarely,Never,Often,Often,Rarely,Never,Rarely,Rarely,Sometimes,Often,Rarely,Sometimes,Never,Often,Rarely,Sometimes,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,80,61,35,29,29,13,24,16,37
2022-11-02 11:01:43,2022-11-02 11:07:10,IP Address,174.203.220.94,100,326,True,2022-11-02 11:07:11,R_3PTumeRnby64ROA,,,,,35.1947,-80.744,anonymous,EN,21,Female,Married,White,Non-Hispanic,Very Much,Quite a Bit,Somewhat,Quite a Bit,Quite a Bit,Not at All,Very Much,Very Much,Quite a Bit,Somewhat,A Moderate Amount,Quite a Bit,Quite a Bit,Somewhat,Quite a Bit,Not at All,Very Much,Somewhat,A Moderate Amount,Not at All,A Moderate Amount,Not at All,A Moderate Amount,Quite a Bit,Somewhat,Quite a Bit,Not at All,Quite a Bit,A Moderate Amount,A Moderate Amount,Quite a Bit,Quite a Bit,Not at All,Somewhat,A Moderate Amount,Somewhat,Somewhat,4 - Pretty well,4 - Pretty well,4 - Pretty well,2 - Not very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,3 - Neutral,4 - Pretty well,5 - Very well,4 - Pretty well,4 - Pretty well,2 - Not very well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,5 - Very well,4 - Pretty well,4 - Pretty well,Sometimes,Never,Never,Often,Rarely,Often,Never,Often,Often,Rarely,Often,Often,Rarely,Often,Sometimes,Rarely,Often,Rarely,Often,Rarely,Sometimes,Often,Never,Rarely,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,92,85,17,26,27,16,23,13,32
2022-11-02 11:07:16,2022-11-02 11:14:03,IP Address,174.216.13.231,100,406,True,2022-11-02 11:14:04,R_2Po5oVBqdP1ve4s,,,,,35.1936,-80.6865,anonymous,EN,18,Female,Never married,White,Non-Hispanic,Not at All,Somewhat,A Moderate Amount,Somewhat,A Moderate Amount,A Moderate Amount,A Moderate Amount,Not at All,Somewhat,Very Much,Very Much,Not at All,Not at All,Very Much,Somewhat,Very Much,A Moderate Amount,A Moderate Amount,Quite a Bit,Very Much,Not at All,Not at All,Very Much,A Moderate Amount,Not at All,Very Much,Somewhat,Not at All,Somewhat,Not at All,Very Much,Very Much,Not at All,Very Much,A Moderate Amount,Very Much,Very Much,5 - Very well,4 - Pretty well,1 - Not at all,2 - Not very well,2 - Not very well,5 - Very well,2 - Not very well,5 - Very well,1 - Not at all,4 - Pretty well,5 - Very well,2 - Not very well,2 - Not very well,3 - Neutral,2 - Not very well,5 - Very well,4 - Pretty well,3 - Neutral,5 - Very well,5 - Very well,1 - Not at all,5 - Very well,3 - Neutral,1 - Not at all,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Often,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,77,54,52,13,15,5,12,21,20
