,ID,raterage,ratergender,ag.rate,at.rate,ba.rate,co.rate,he.rate,un.rate,faceage,facegender
23,of3222,old,F,3,3.195121951,3.853658537,3.853658537,5.609756098,3.585365854,youngface,maleface
24,of3222,old,F,3.714285714,4.142857143,4.107142857,5.142857143,5.25,3.071428571,youngface,femaleface
25,of3422,old,F,4.145833333,3.645833333,3.520833333,4.895833333,5.666666667,3.208333333,oldface,maleface
26,of3422,old,F,3.85,3.8,2.95,5.55,4.6,3.4,oldface,femaleface
27,of3422,old,F,4.170731707,4,3.487804878,4.634146341,5.975609756,3.146341463,youngface,maleface
28,of3422,old,F,4.214285714,3.821428571,3.178571429,4.642857143,5.75,2.928571429,youngface,femaleface
29,of3722,old,F,4.166666667,4.083333333,3.916666667,4.3125,4.333333333,3.916666667,oldface,maleface
30,of3722,old,F,4.2,4.35,4.3,4.55,4.05,4.45,oldface,femaleface
31,of3722,old,F,4.341463415,3.707317073,3.512195122,4.292682927,4.048780488,4.073170732,youngface,maleface
32,of3722,old,F,4.25,4.214285714,4.071428571,4.464285714,4.178571429,3.714285714,youngface,femaleface
33,om1021,old,M,2.333333333,3,3.0625,3.645833333,2.625,3.916666667,oldface,maleface
34,om1021,old,M,3.3,3,2.25,3.95,2.8,3.55,oldface,femaleface
35,om1021,old,M,3.390243902,2,2,2.634146341,2.390243902,4.707317073,youngface,maleface
36,om1021,old,M,2.892857143,2.571428571,3.142857143,3.714285714,3.5,4.107142857,youngface,femaleface
37,om1321,old,M,4.791666667,3.875,1.229166667,4.375,2.9375,4.229166667,oldface,maleface
38,om1321,old,M,4.25,3.65,2.55,4.5,3.8,3.85,oldface,femaleface
39,om1321,old,M,5,4.341463415,1.463414634,4.463414634,3.634146341,4.585365854,youngface,maleface
40,om1321,old,M,4.357142857,4.5,2.535714286,4.785714286,3.714285714,3.678571429,youngface,femaleface
41,om2021,old,M,4.208333333,3.208333333,1,4.083333333,4.020833333,4.1875,oldface,maleface
42,om2021,old,M,3.55,2.95,1.3,4.1,4.2,3.95,oldface,femaleface
43,om2021,old,M,4.292682927,3.341463415,1.024390244,4.024390244,4.43902439,4.219512195,youngface,maleface
44,om2021,old,M,4.071428571,3.321428571,1.035714286,4.107142857,4.035714286,3.821428571,youngface,femaleface
45,om2521,old,M,3.541666667,4,4.541666667,3.854166667,3.208333333,4.520833333,oldface,maleface
46,om2521,old,M,3.9,4.15,4.5,4.4,4.35,3.1,oldface,femaleface
47,om2521,old,M,4.975609756,3.292682927,3.756097561,3.268292683,3.731707317,4.804878049,youngface,maleface
48,om2521,old,M,4.107142857,3.928571429,3.642857143,4.071428571,4.178571429,4,youngface,femaleface
49,om3321,old,M,3.666666667,3.541666667,3.8125,4.333333333,4.020833333,3.979166667,oldface,maleface
50,om3321,old,M,3.9,3.05,4.1,3.7,4.05,3.3,oldface,femaleface
51,om3321,old,M,3.926829268,2.804878049,2.975609756,3.756097561,4.341463415,4.43902439,youngface,maleface
52,om3321,old,M,3.464285714,3.892857143,3.714285714,4.035714286,4.535714286,3.357142857,youngface,femaleface
53,om3521,old,M,3.041666667,2.4375,2.416666667,3.666666667,2.9375,4.541666667,oldface,maleface
54,om3521,old,M,2.5,4.55,4.15,4.3,3.75,2.6,oldface,femaleface
55,om3521,old,M,3.365853659,3.024390244,2.341463415,4.024390244,3.756097561,2.43902439,youngface,maleface
56,om3521,old,M,2.285714286,4.571428571,4.428571429,4.5,4.392857143,4.071428571,youngface,femaleface
57,om3821,old,M,3.541666667,3,4.1875,3.854166667,3.625,4.125,oldface,maleface
58,om3821,old,M,3.25,3.25,4.15,3.95,3.65,4.35,oldface,femaleface
59,om3821,old,M,4.146341463,3.780487805,4.146341463,4.292682927,4.975609756,3.609756098,youngface,maleface
60,om3821,old,M,3.607142857,4.107142857,4.178571429,4.428571429,5.035714286,4.107142857,youngface,femaleface
61,om4021,old,M,4,3.395833333,2.375,4.354166667,4.479166667,4.166666667,oldface,maleface
62,om4021,old,M,3.65,3.1,3.4,4.65,4.8,3.8,oldface,femaleface
63,om4021,old,M,4.585365854,3.87804878,3.658536585,4.56097561,6.024390244,4.756097561,youngface,maleface
64,om4021,old,M,3.928571429,3.75,3.857142857,4.464285714,6.785714286,4.357142857,youngface,femaleface
65,yf0712,young,F,3.895833333,2.354166667,2.6875,3.125,3.479166667,3.604166667,oldface,maleface
66,yf0712,young,F,3.45,2.6,2.4,3.4,3.35,3.75,oldface,femaleface
67,yf0712,young,F,2.804878049,2.951219512,3.414634146,4,4.536585366,3.804878049,youngface,maleface
68,yf0712,young,F,3.035714286,3.071428571,2.357142857,3.928571429,4.5,4.571428571,youngface,femaleface
69,yf1412,young,F,4,2.625,1.25,4.791666667,4.1875,4.416666667,oldface,maleface
70,yf1412,young,F,3.6,2.8,1.45,4.35,4.8,4.2,oldface,femaleface
71,yf1412,young,F,3.926829268,2.609756098,1.853658537,3.87804878,4.658536585,4.658536585,youngface,maleface
72,yf1412,young,F,3.857142857,3.678571429,2.214285714,3.714285714,4.571428571,3.714285714,youngface,femaleface
73,yf2212,young,F,2.854166667,2.583333333,2.270833333,5.229166667,5.3125,1.979166667,oldface,maleface
74,yf2212,young,F,2.95,3.75,2.3,5.3,5.7,2.05,oldface,femaleface
75,yf2212,young,F,2.512195122,2.097560976,2.073170732,5.097560976,6.048780488,3.097560976,youngface,maleface
76,yf2212,young,F,1.464285714,3.392857143,1.535714286,5.535714286,6.214285714,2.107142857,youngface,femaleface
77,yf2312,young,F,3.791666667,2.645833333,3.645833333,3.479166667,3.520833333,4.333333333,oldface,maleface
78,yf2312,young,F,3.8,2.45,4.1,4.1,3.65,3.95,oldface,femaleface
79,yf2312,young,F,3.87804878,2.463414634,3.585365854,3.268292683,3.609756098,4.243902439,youngface,maleface
80,yf2312,young,F,3.892857143,3.214285714,3.535714286,3.607142857,3.714285714,4.428571429,youngface,femaleface
81,yf2412,young,F,3.5625,3.208333333,3.9375,4.020833333,3.604166667,4.145833333,oldface,maleface
82,yf2412,young,F,3.3,3.25,3.75,3.7,4.35,4.05,oldface,femaleface
83,yf2412,young,F,4.43902439,3.268292683,4.097560976,3.756097561,3.658536585,4.341463415,youngface,maleface
84,yf2412,young,F,3.642857143,3.571428571,3.428571429,3.892857143,4,4.285714286,youngface,femaleface
85,yf3612,young,F,3.416666667,3.083333333,3.520833333,3.583333333,3.166666667,4.333333333,oldface,maleface
86,yf3612,young,F,4.15,3.8,3.8,3.8,4.05,4.35,oldface,femaleface
87,yf3612,young,F,4,3.512195122,3.829268293,3.658536585,3.512195122,4.829268293,youngface,maleface
88,yf3612,young,F,3.285714286,3.857142857,3.892857143,3.857142857,3.678571429,4.071428571,youngface,femaleface
89,yf4212,young,F,2.9375,1.875,1.354166667,4.645833333,4.291666667,3.520833333,oldface,maleface
90,yf4212,young,F,2.9,3.05,1.65,4.8,4.9,3.5,oldface,femaleface
91,yf4212,young,F,3.024390244,2.56097561,2.365853659,4.682926829,5.048780488,4.024390244,youngface,maleface
92,yf4212,young,F,2.928571429,3.285714286,2.678571429,4.392857143,5.285714286,4.071428571,youngface,femaleface
93,yf4612,young,F,3.458333333,2.083333333,3.0625,4.083333333,3.666666667,4.416666667,oldface,maleface
94,yf4612,young,F,3.6,2.55,2.7,3.6,4.35,3.75,oldface,femaleface
95,yf4612,young,F,4.268292683,1.707317073,3.658536585,3.707317073,4.12195122,4.341463415,youngface,maleface
96,yf4612,young,F,4.107142857,3.035714286,3.392857143,3.5,4.071428571,3.785714286,youngface,femaleface
97,yf4712,young,F,3.9375,3.416666667,4.4375,3.958333333,3.645833333,4.125,oldface,maleface
98,yf4712,young,F,4,3.95,4.8,4.05,3.75,3.7,oldface,femaleface
99,yf4712,young,F,4.097560976,3.487804878,4.658536585,3.87804878,4.048780488,4.341463415,youngface,maleface
100,yf4712,young,F,4,4,4.464285714,4.214285714,4.571428571,3.785714286,youngface,femaleface
101,ym0611,young,M,2.583333333,3.3125,2.291666667,4.125,3.6875,4.166666667,oldface,maleface
102,ym0611,young,M,2.05,4.65,3.25,4.55,4.2,3.75,oldface,femaleface
103,ym0611,young,M,2.536585366,3.146341463,4.12195122,4.341463415,4.609756098,4.609756098,youngface,maleface
104,ym0611,young,M,3.321428571,3.714285714,1.571428571,4.678571429,4.821428571,3.75,youngface,femaleface
105,ym0811,young,M,3.520833333,2.5625,4.145833333,4.541666667,4.270833333,4.229166667,oldface,maleface
106,ym0811,young,M,2.7,1.9,4.8,4.9,5.45,3.45,oldface,femaleface
107,ym0811,young,M,4.390243902,3.682926829,4.512195122,3.829268293,5.292682927,4.268292683,youngface,maleface
108,ym0811,young,M,3.214285714,2.5,4.642857143,3.678571429,4.892857143,3.535714286,youngface,femaleface
109,ym1511,young,M,3.916666667,1.979166667,2.041666667,4.375,4.604166667,4.520833333,oldface,maleface
110,ym1511,young,M,3.55,1.9,2.05,4.5,3.65,4.3,oldface,femaleface
111,ym1511,young,M,4.390243902,1.951219512,3.12195122,4.585365854,5.048780488,4.609756098,youngface,maleface
112,ym1511,young,M,4.214285714,1.857142857,2.678571429,4.25,3.928571429,4.035714286,youngface,femaleface
113,ym2911,young,M,4.125,2.333333333,3.333333333,3.645833333,3.604166667,4.041666667,oldface,maleface
114,ym2911,young,M,4,2.45,3.4,4,3.75,3.35,oldface,femaleface
115,ym2911,young,M,4.585365854,3.463414634,3.414634146,3.902439024,3.756097561,4.170731707,youngface,maleface
116,ym2911,young,M,4,3.392857143,3.857142857,3.928571429,3.857142857,3.642857143,youngface,femaleface
117,ym4111,young,M,2.791666667,1.645833333,1.708333333,2.875,2.333333333,4.229166667,oldface,maleface
118,ym4111,young,M,2.65,1.45,1.65,2.2,2.55,4.05,oldface,femaleface
119,ym4111,young,M,2.487804878,2.12195122,2.170731707,2.536585366,2.902439024,5.317073171,youngface,maleface
120,ym4111,young,M,2.25,1.928571429,2.178571429,2.428571429,2.571428571,4.571428571,youngface,femaleface
121,ym4311,young,M,2.708333333,2.8125,4.166666667,4.125,2.979166667,3.75,oldface,maleface
122,ym4311,young,M,2.65,2.45,3.3,3.8,3.65,3.2,oldface,femaleface
123,ym4311,young,M,3.829268293,3.43902439,3.951219512,3.707317073,3.243902439,3.975609756,youngface,maleface
124,ym4311,young,M,3.285714286,3.357142857,3.714285714,3.428571429,3.678571429,3.928571429,youngface,femaleface
125,ym4811,young,M,3.416666667,1.729166667,4.291666667,3.8125,3.729166667,3.8125,oldface,maleface
126,ym4811,young,M,2.95,2,4.1,4.1,4.05,3,oldface,femaleface
127,ym4811,young,M,4,2.853658537,3.829268293,3.780487805,3.926829268,3.780487805,youngface,maleface
128,ym4811,young,M,2.714285714,2.642857143,3.928571429,4.178571429,3.535714286,3.785714286,youngface,femaleface
